requirement,execution_commit,file,function_or_marker,line,source_sha256,evidence,status,verification_level,limitation
Fixed local two-phase QCQP,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/solver.py,def solve_coefficients(,253,68e2be1262bd94a249c7e4c912e3838d2f95dd145709fd95ed4344410c3b1e26,selection details solver; local-solver.json,PASS_LOCAL_ARITHMETIC,INDEPENDENT_SAVED_COEFFICIENT_DUAL_ARITHMETIC,Local fixed linearized problem only; no global nonlinear optimum
EN KL actual Armijo first accepted of four,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/controller.py,def optimize_kl(,284,4eab3cbc3dd40d89299e04ca4c35d305cb817084eaff8f81ea2613054db0e990,candidate-arithmetic.csv; acceptance-arithmetic.json,PASS_STORED_ARITHMETIC,INDEPENDENT_LOSS_ARMIJO_SCALARS,G/H/dense trial tensors not persisted
DEC full512 acceptance after actual movement,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/controller.py,def optimize_decision(,373,4eab3cbc3dd40d89299e04ca4c35d305cb817084eaff8f81ea2613054db0e990,eight FP32_NO_MOVE trials; zero candidate scans,NOT_EXERCISED,SOURCE_AND_COUNTER,full512 flag refers native coverage; no candidate acceptance PASS
EN selected R512 decision choice observer,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/observers.py,def evaluate(,19,f1c7ca13e47c04487ec7cbaa9ca2b1ea96048b2a918ed2785e94c3872a86dcc6,reference-coverage.json; postseal KL only,NOT_MEASURED,ACTUAL_MISSING_OBSERVATION,Do not infer choice flips or Phi from KL
Current individual NLL and strict/pair IDs,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/current.py,class CurrentGuard:,28,0d4026063c77ca3f9248f1c9b65d132e4aea1aac1f84e7a53076242e161cf9d5,EN trial4 guard and invariant; canonical reducer,PASS_STORED_SCALARS_AND_IDS,THRESHOLD_RECHECK_PLUS_INDEPENDENT_FINAL_NLL,Full anchor rows absent for independent per-sequence subtraction
B1 active-history panel,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/history.py,def active_history(,61,f1cf8c8e46c3c478446701f66e09c5e4da21ad246974cbcc07d75caa3e3e2d9c,history-entry/native empty; gradient backward0,NOT_APPLICABLE_EMPTY_B1,SOURCE_AND_RECEIPT,Nonempty history/B2 protection not tested
History once selected endpoint and branch restoration,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/transaction.py,def commit(,13,95168d7935bc4663a4ec775f8bf84666bc397cdec449ed0b9243351ca919e307,four commit receipts; before/after M; W/RNG identities,PASS_RECEIPT,CPU_LINK_AND_COUNTER,No disk W/M; observer separate M pre/post hashes not recorded
No disk checkpoint or disguised full state,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/science.py,def _tensor_summary(,58,9e96c763aeb38c5245a2a5ead28dcd34f8880bfe945b331de4bceb6e1e1ca0a3,terminal noCP;522 pt schema inventory,PASS_SCOPE_INVENTORY,CPU_WEIGHTS_ONLY_MMAP,Exact resume unavailable; no independent selected tensor reconstruction
Official P/N and Dev postseal only,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/observers.py,def evaluate(,19,f1c7ca13e47c04487ec7cbaa9ca2b1ea96048b2a918ed2785e94c3872a86dcc6,selection seals; observer complete; controller observer_accesses0,PASS_SOURCE_RECEIPT,SOURCE_AND_LEDGER,Review did not rerun model or prove unrecorded branches
B1 mechanical expansion gate,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/gates.py,def b1_gate(,59,d239bf84416768b4fdef9c898b802639d40b206525d723eebdd821fa5f6bed8f,stage-gate.json,FAIL_QUALITY_GATE,INDEPENDENT_METRIC_AND_STORED_SELECTION_ARITHMETIC,Nonzero and choice-or-margin fail; no expansion authority anyway
Writer exact source order and low-rank diagnostics,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/mechanism.py,def analyze_writer(,203,eb2a3d23c6ce0112d43b1623085617763adbfc2aa41cba88df53804efbf055d6,writer/modes/control; tensor inventory,PASS_BOUNDED_ALGEBRA,CPU_REDUCTION_AND_SAVED_RUNTIME_REPLAY,Ideal factor delta differs from actual FP32 by relative6.073846e-6
Writer total timer,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/mechanism.py,"for start in range(0,m,128):",304,eb2a3d23c6ce0112d43b1623085617763adbfc2aa41cba88df53804efbf055d6,timing-exclusions.json,FAIL_INSTRUMENTATION,SOURCE_BACKED_RCA,Loop overwrites monotonic start; invalid7403588.902935sec excluded
Postselection component panel,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/postselection.py,def mechanism_report(,64,6fd2f0c103e0f59d9dd9cafec52bdf4cdf32d5dab16d8581c2c3476fd7e6ea83,postselection-components.csv,PASS_PANEL_REDUCTION,INDEPENDENT_RAW_SEQUENCE_NLL_AND_CHOICE_ROWS,32reference+32N development panel; not full policy endpoint or unbiased test
T0 FD original threshold,5f79085629b10b2bb8bdee88d017e18a46bb4c74,project/run_scripts/single_layer_mechanism_first/reuse_t0_user_waiver.py,def reuse(,71,e9bc48b4397c28abbb43a5b38f0512a9a97191711d3427cac625257e30b8869d,completed-T0-reuse; prior failed T0; waiver lock,WAIVED_USER_DIRECTED,PRIOR_ACTUAL_EVIDENCE_REUSE,3/4 adjacent FD criterion not established; no full numerical PASS
