arm,batch,correction_feasible,reasons,selection_reason
CAP1,5,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,9,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
CAP100,10,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,1,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,2,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE|RAW_STRICT_IDS_LOST; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE|RAW_STRICT_IDS_LOST; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,3,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,4,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,5,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,7,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,8,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE|RAW_STRICT_IDS_LOST; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,9,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE|RAW_STRICT_IDS_LOST; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
NORM_ONLY,10,0,C1:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE|RAW_STRICT_IDS_LOST; C05:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE; C025:E_EXCEEDS_OWN_RAW_NO_ALLOWANCE,RAW_NATIVE_NO_UNAMBIGUOUS_FEASIBLE_IMPROVEMENT
